Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,261,12,"M:System.Windows.MessageBox.Show(System.Windows.Window,System.String,System.String)",,,,,"MessageBox.Show(this, JsonConvert.SerializeObject(e.Media), ""Host received a Media"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,255,16,T:System.Windows.MessageBox,,,,,"MessageBox.Show(this, JsonConvert.SerializeObject(inputs, Formatting.Indented) + ""\nverb: "" + executeAction.Verb, ""ExecuteAction"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,255,16,T:System.Windows.MessageBoxResult,,,,,"MessageBox.Show(this, JsonConvert.SerializeObject(inputs, Formatting.Indented) + ""\nverb: "" + executeAction.Verb, ""ExecuteAction"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,255,16,"M:System.Windows.MessageBox.Show(System.Windows.Window,System.String,System.String)",,,,,"MessageBox.Show(this, JsonConvert.SerializeObject(inputs, Formatting.Indented) + ""\nverb: "" + executeAction.Verb, ""ExecuteAction"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,246,16,T:System.Windows.MessageBox,,,,,"MessageBox.Show(this, JsonConvert.SerializeObject(inputs, Formatting.Indented), ""SubmitAction"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,246,16,T:System.Windows.MessageBoxResult,,,,,"MessageBox.Show(this, JsonConvert.SerializeObject(inputs, Formatting.Indented), ""SubmitAction"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,246,16,"M:System.Windows.MessageBox.Show(System.Windows.Window,System.String,System.String)",,,,,"MessageBox.Show(this, JsonConvert.SerializeObject(inputs, Formatting.Indented), ""SubmitAction"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,236,20,M:System.Windows.Window.ShowDialog,,,,,dialog.ShowDialog();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,235,20,T:System.Windows.Window,,,,,dialog.Owner = this;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,235,20,P:System.Windows.Window.Owner,,,,,dialog.Owner = this;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,234,20,T:System.Windows.ResourceDictionary,,,,,"var dialog = new ShowCardWindow(showCardAction.Title, showCardAction, Resources);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,234,20,P:System.Windows.FrameworkElement.Resources,,,,,"var dialog = new ShowCardWindow(showCardAction.Title, showCardAction, Resources);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,226,16,T:System.Uri,,,,,Process.Start(openUrlAction.Url.AbsoluteUri);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,226,16,P:System.Uri.AbsoluteUri,,,,,Process.Start(openUrlAction.Url.AbsoluteUri);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,214,16,T:System.Windows.Controls.Grid,,,,,cardGrid.Children.Add(fallbackCard);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,214,16,T:System.Windows.Controls.UIElementCollection,,,,,cardGrid.Children.Add(fallbackCard);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,214,16,P:System.Windows.Controls.Panel.Children,,,,,cardGrid.Children.Add(fallbackCard);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,214,16,M:System.Windows.Controls.UIElementCollection.Add(System.Windows.UIElement),,,,,cardGrid.Children.Add(fallbackCard);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,209,16,P:System.Windows.Controls.TextBlock.Text,,,,,"var fallbackCard = new TextBlock                  {                      Text = ex.CardFallbackText ?? ""Sorry, we couldn't render the card""                  };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,209,16,T:System.Windows.Controls.TextBlock,,,,,"var fallbackCard = new TextBlock                  {                      Text = ex.CardFallbackText ?? ""Sorry, we couldn't render the card""                  };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,209,16,M:System.Windows.Controls.TextBlock.#ctor,,,,,"var fallbackCard = new TextBlock                  {                      Text = ex.CardFallbackText ?? ""Sorry, we couldn't render the card""                  };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,198,16,T:System.Windows.FrameworkElement,,,,,cardGrid.Children.Add(renderedCard.FrameworkElement);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,198,16,T:System.Windows.Controls.Grid,,,,,cardGrid.Children.Add(renderedCard.FrameworkElement);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,198,16,T:System.Windows.Controls.UIElementCollection,,,,,cardGrid.Children.Add(renderedCard.FrameworkElement);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,198,16,P:System.Windows.Controls.Panel.Children,,,,,cardGrid.Children.Add(renderedCard.FrameworkElement);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,198,16,M:System.Windows.Controls.UIElementCollection.Add(System.Windows.UIElement),,,,,cardGrid.Children.Add(renderedCard.FrameworkElement);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Samples\WPFVisualizer\AdaptiveCards.Sample.WPFVisualizer.csproj,File,Samples\WPFVisualizer\MainWindow.xaml.cs,197,16,T:System.Windows.Controls.Grid,,,,,cardGrid.Children.Clear();
